question_names	quiz	warning_msg	related_index
Use this space to practice writing another, different example of a question that could be answered by data science.	01_forming_questions_01_data_science_process_quiz.md	No incorrect answer options provided for Use this space to pr ... in quiz: 01_forming_questions_01_data_science_process_quiz.md	13
Practice asking questions and write down a question you have about data science right now. Then send this question to someone who might be able to help.	01_forming_questions_02_types_of_questions_quiz.md	No incorrect answer options provided for Practice asking ques ... in quiz: 01_forming_questions_02_types_of_questions_quiz.md	38
Practice asking questions and write down another question you have about data science right now. Then send this question to someone who might be able to help.	01_forming_questions_03_how_to_learn_quiz.md	No incorrect answer options provided for Practice asking ques ... in quiz: 01_forming_questions_03_how_to_learn_quiz.md	19
Install [this lesson's swirl module](http://swirlstats.com/scn/DataTrail_01_Forming_Questions.html) with the following command in R: `swirl::install_course(""DataTrail_01_Forming_Questions"")` Use the `swirl()` function and navigate to the course: `DataTrail_01_Forming Questions`. Complete this swirl module on object assignment. Once complete, paste the code provided at the end of the swirl module here.	01_forming_questions_04_rstudio_cloud_tour_quiz.md	Colon detected in question on lines: 71 in question starting with:Install [this lesson ... in quiz: 01_forming_questions_04_rstudio_cloud_tour_quiz.md	71
Install [this lesson's swirl module](http://swirlstats.com/scn/DataTrail_01_Forming_Questions.html) with the following command in R: `swirl::install_course(""DataTrail_01_Forming_Questions"")` Use the `swirl()` function and navigate to the course: `DataTrail_01_Forming Questions`. Complete this swirl module on object assignment. Once complete, paste the code provided at the end of the swirl module here.	01_forming_questions_04_rstudio_cloud_tour_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 01_forming_questions_04_rstudio_cloud_tour_quiz.md	70
Suppose I enter the following code in R: `x <- 2`. What is the class of the `x` object?	02_getting_data_02_objects_quiz.md	Colon detected in question on lines: 7 in question starting with:Suppose I enter the  ... in quiz: 02_getting_data_02_objects_quiz.md	7
Which function would you use to determine the class of the object 'x' generated from the code: `x <- 2`	02_getting_data_02_objects_quiz.md	Colon detected in question on lines: 63 in question starting with:Which function would ... in quiz: 02_getting_data_02_objects_quiz.md	63
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `R Objects`. Complete this swirl module on object assignment. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_02_objects_quiz.md	Colon detected in question on lines: 87 in question starting with:Install [this lesson ... in quiz: 02_getting_data_02_objects_quiz.md	87
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `R Objects`. Complete this swirl module on object assignment. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_02_objects_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 02_getting_data_02_objects_quiz.md	86
Which of the commands below will give the same result as `(iris$Sepal.Length == 5.0) | (iris$Sepal.Length == 5.1)`?	02_getting_data_03_logicals_quiz.md	Colon detected in question on lines: 79 in question starting with:Which of the command ... in quiz: 02_getting_data_03_logicals_quiz.md	79
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Working with Logicals`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_03_logicals_quiz.md	Colon detected in question on lines: 88 in question starting with:Install [this lesson ... in quiz: 02_getting_data_03_logicals_quiz.md	88
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Working with Logicals`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_03_logicals_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 02_getting_data_03_logicals_quiz.md	87
The following snapshot of the `iris` data frame shows the first six rows of the 5 column data frame. How can I extract the `Petal.Length` column as a simple vector (as opposed to a single column data frame)?	02_getting_data_04_dataframes_quiz.md	Colon detected in question on lines: 8 in question starting with:The following snapsh ... in quiz: 02_getting_data_04_dataframes_quiz.md	8
The following snapshot of the `iris` data frame shows the first six rows of the 5 column data frame. How can I extract the `Petal.Length` column as a simple vector (as opposed to a single column data frame)?	02_getting_data_04_dataframes_quiz.md	Exclamation point detected in answer for: The following snapsh ... in quiz: 02_getting_data_04_dataframes_quiz.md	8
The following snapshot of the `iris` data frame shows the first six rows of the 5 column data frame. How can I extract the `Sepal.Length` column as a simple vector (as opposed to a single column data frame)?	02_getting_data_04_dataframes_quiz.md	Colon detected in question on lines: 31 in question starting with:The following snapsh ... in quiz: 02_getting_data_04_dataframes_quiz.md	31
The following snapshot of the `iris` data frame shows the first six rows of the 5 column data frame. How can I extract the `Sepal.Length` column as a simple vector (as opposed to a single column data frame)?	02_getting_data_04_dataframes_quiz.md	Exclamation point detected in answer for: The following snapsh ... in quiz: 02_getting_data_04_dataframes_quiz.md	31
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Dataframes`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_04_dataframes_quiz.md	Colon detected in question on lines: 51 in question starting with:Install [this lesson ... in quiz: 02_getting_data_04_dataframes_quiz.md	51
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Dataframes`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_04_dataframes_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 02_getting_data_04_dataframes_quiz.md	50
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Basic Commands`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_05_basic_commands_quiz.md	Colon detected in question on lines: 107 in question starting with:Install [this lesson ... in quiz: 02_getting_data_05_basic_commands_quiz.md	107
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Basic Commands`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_05_basic_commands_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 02_getting_data_05_basic_commands_quiz.md	106
Which of the following R function and Terminal command pairs perform the same function? (Note: The R function is represented by `function()`, where the Terminal command does not have the parentheses `function`.)	02_getting_data_07_managing_files_quiz.md	Colon detected in question on lines: 19 in question starting with:Which of the followi ... in quiz: 02_getting_data_07_managing_files_quiz.md	19
Refer to the file system diagram below. The current working directory is `code`. Which of the following Terminal commands and/or R functions will move the `tidy_data1.R` file in the `raw_code` directory to the `final_code` directory?	02_getting_data_07_managing_files_quiz.md	Colon detected in question on lines: 42 in question starting with:Refer to the file sy ... in quiz: 02_getting_data_07_managing_files_quiz.md	42
Refer to the file system diagram below. The current working directory is `code`. Which of the following Terminal commands and/or R functions will move the `tidy_data1.R` file in the `raw_code` directory to the `final_code` directory?	02_getting_data_07_managing_files_quiz.md	Exclamation point detected in answer for: Refer to the file sy ... in quiz: 02_getting_data_07_managing_files_quiz.md	42
TRUE or FALSE: Files in your current working directory can only be listed from the Terminal (and not the R Console).	02_getting_data_07_managing_files_quiz.md	Colon detected in question on lines: 56 in question starting with:TRUE or FALSE: Files ... in quiz: 02_getting_data_07_managing_files_quiz.md	56
